,question,answer
254,<pad> question: What is an example of an orbital infection?</s>,overview and anatomy of the orbits
255,<pad> question: What is the term for a cellulitis with epidural abscess?</s>,Subperiosteal abscessCavernous sinus thrombosis
256,<pad> question: What is the name of the hemangioma?</s>,HemangiomaOrbital lymphoma
257,<pad> question: What is the name of the cancer metastasis?</s>,Schwannoma/neurofibromaMetastasisLacrimal gland lesion
258,<pad> question: What is the name of the tumor that is a result of a fatty type of thyroid?</s>,Orbital pseudotumor
259,<pad> question: What is the name of the condition that is caused by multiple sclerosis?</s>,Optic neuritis
260,<pad> question: What is the term for retinal prematurity?</s>,RetinoblastomaCoat diseaseRetinopathy of prematurity (ROP)
261,<pad> question: What is the name of the lesion that causes a masticator space mass?</s>,Colobomacongenital orbital lesionsSphenoid wing dysplasiaSeptooptic dysplasiaMasticator space
262,<pad> question: What area of the body is affected by intramedullary mass?</s>,Perivertebral space
263,<pad> question: What is the name of the lesion that is a hemangioblastoma?</s>,HemangioblastomaDemyelinating lesion
264,<pad> question: What is the term for a myxopapillary ependymom?</s>,MeningiomaDermoid cystEpidermoid cyst
265,<pad> question: What is the name of the arachnoiditis?</s>,Arachnoiditis
266,<pad> question: What is the goal of imaging?</s>,Epidural lipomatosisoverview of degenerative disease
267,<pad> question: What is a degenerative disease?</s>,Disc bulges and herniationsGeneral degenerative changesLigamentum fl avum infolding/hypertrophyHigh intensity zone (annular fi ssure)nondegenerative hypertrophic diseases
268,<pad> question: What is the name of the lesion in the filum terminale?</s>,Pyogenic discitis/osteomyelitisSagittal CTTuberculous osteomyelitisDural arteriovenous fistula (d AVF)InfarctioncongenitalTethered cord syndromeFatty filum
269,<pad> question: What is the name of the book that discusses the use of magnetic resonance imaging?</s>,General References:
270,<pad> question: What two areas of the brain are referred to as CT perfusion?</s>,Cerebrovascular and Stroke:
271,<pad> question: What is the name of the disease that is controversied around the pathophysiology of vasogenic edema?</s>,White Matter Disease:
272,<pad> question: What are two areas of interest in the otolaryngology of the head and neck?</s>,Infection and toxic/Metabolic:
273,<pad> question: What is the name of the condition that causes subchondral cysti c changes?</s>,osteoarthritis (o A)
274,<pad> question: What is the condition of the foot that is characterized by narrowing of the cartilage space?</s>,Osteoarthritis in the footOsteoarthritis in the knee
275,<pad> question: What is the name of the degenerative change in the spine?</s>,Degenerative change in the spineErosive osteoarthritis
276,<pad> question: What is the name of the arthritis that involves the hip?</s>,Rheumatoid arthritis in the feetRheumatoid arthritis in the hip
277,<pad> question: What is the name of the arthropathy that causes a chondrocalcinosis?</s>,Jaccoud arthropathySclerodermaPolymyositis and dermatomyositiscrystal deposition arthropathies
278,<pad> question: What is the name of the condition that affects the hand?</s>,HemochromatosisAcromegaly
279,<pad> question: What is the name of the disease that causes severe joint space narrowing?</s>,Ochronosis (alkaptonuria)Multicentric reticulohistiocytosisHemophilic arthropathy
280,<pad> question: What is the cause of the calcification?</s>,c: calcificationc: cartilage spacesD: Distribution
281,<pad> question: What is the name of the periosteal reaction?</s>,Morphology
282,<pad> question: What is enostosis?</s>,bone forming (osteo) lesions
283,<pad> question: What is Synovial chondromatosis?</s>,Malignant: OsteosarcomaRadiograph
284,<pad> question: What is the term for a pedunculated exostosis of the tibial metaphysis?</s>,Benign: Osteochondroma
285,<pad> question: What is the most common type of fibroma?</s>,Benign: Chondromyxoid fibromaMalignant: Chondrosarcoma
286,<pad> question: What is MPH?</s>,Lesions of fibrous originMalignant: Malignant fibrous histiocytoma (MFH)
287,<pad> question: What is the complete medullary cavity called?</s>,Benign: Hemangioma
288,<pad> question: What type of tumor is usually benign?</s>,Malignant: Angiosarcoma of bone
289,<pad> question: What is the name of the chordoma lesions?</s>,Malignant: Liposarcomanotochordal lesionsMalignant: Chordoma
290,<pad> question: What is the most common type of osseous metastases?</s>,Lytic osseous metastasesMyositis ossificans
291,<pad> question: What is the term for renal osteodystrophy?</s>,Osteomyelitis
292,<pad> question: What is the term for osteomyelitis?</s>,osteomyelitis
293,<pad> question: What is the name of the disease that causes calcaneal osteomyelitis?</s>,Contiguous focus osteomyelitisSubacute osteomyelitisChronic osteomyelitis
294,<pad> question: What is the cause of osteomalacia?</s>,soft-tissue infectionsSeptic arthritisMultifactorial bone diseaseOsteoporosisScurvyOsteomalaciaEndocrine bone diseaseAcromegaly
295,<pad> question: What is the term for hypoparathyroidism?</s>,HypothyroidismHypoparathyroidismHyperthyroidism
296,<pad> question: What is the name of the disease of the right hemipelvis?</s>,Paget disease
297,<pad> question: What is the name of the disease that causes sclerosis of the bones in the thorax?</s>,Hereditary hyperphosphatasia (juvenile Paget)Osteopetrosis
298,<pad> question: What is the name of the disease that causes a fracture of the proximal femur?</s>,Gaucher disease
299,<pad> question: What is the term for sickle cell anemia?</s>,Sickle cell disease
300,<pad> question: What is the cause of the second metatarsal stress fracture?</s>,MyelofibrosisMastocytosisFracturestendonsTenosynovitisMyxoid degeneration (tendinosis)Partial tearComplete tearForefootSesamoid fractureLisfranc fracturedislocation
301,<pad> question: What is the fracture of the base of the second metatarsal?</s>,"Frontal radiograph of the foot shows a
homolateral dislocation at the Lisfranc joint,
with fracture of the base of the second
metatarsal (arrow)."
302,<pad> question: What is a necrosis?</s>,Navicular osteonecrosisChopart fracturedislocationCalcaneal stress fractureTalar fracture
303,<pad> question: What is the fibrous coalition?</s>,Hindfoot (tarsal) coalition
304,<pad> question: What is the name of the injury that occurs in the ankle?</s>,Named ankle fracturesAchilles tendon injury
305,<pad> question: What is the arrow on the radiograph of the knee?</s>,Knee dislocationPatellar fractureTibial plateau fracture
306,<pad> question: What type of tear cleaves the meniscus in a plane parallel to the tibial plateau?</s>,Oblique/horizontal tear
307,<pad> question: What is the radial tear of the meniscus?</s>,Buckethandle tear
308,<pad> question: What is the secondary finding of a PCL tear?</s>,ACL tear
309,<pad> question: What is the acronym for the Lateral collateral ligament?</s>,MCL injury
310,<pad> question: What is the secondary buckling of?</s>,Patellar tendon injury
311,<pad> question: What is the name of the disease that causes a lateral patellar dislocation?</s>,Osgood–Schlatter disease
312,<pad> question: What is the normal anatomic alignment of the femoral head and neck?</s>,Acetabular fracture
313,<pad> question: What is another term for a subtrochanteric fracture?</s>,Subtrochanteric fracture (extracapsular)
314,<pad> question: What is FAI?</s>,Labral injury
315,<pad> question: What type of impingement is there?</s>,Mixedtype impingement
316,<pad> question: What is the cause of the lateral radiograph?</s>,cervical spine trauma
317,<pad> question: What is the term for a lateral interfacetal dislocation?</s>,Odontoid fractureHangman’s fractureFlexion teardrop fractureExtension teardrop fractureClayshoveler’s fractureBilateral interfacetal dislocation (locked facets)Unilateral interfacetal dislocationGrisel syndrome
318,<pad> question: What is the cause of a rotator cuff tear?</s>,Posterior glenohumeral dislocationInferior glenohumeral dislocation (luxatio erecta)Os acromialerotator cuff
319,<pad> question: What is the term for a fullthickness rotator cuff tear?</s>,Rotator cuff atrophy
320,<pad> question: What is the biceps tendon's anatomy?</s>,Instability: overview and anatomy
321,<pad> question: What is the name of the lesion that is associated with the Bankart lesion?</s>,Bankart lesionHill–SachsAnterior labroligamentous periosteal sleeve avulsion (ALPSA)Perthes lesion
322,<pad> question: What is the name of the condition that causes entrapment?</s>,Entrapment neuropathiesQuadrilateral space syndrome
323,<pad> question: What is the most common elbow fracture in children?</s>,Radial head fractureSupracondylar fracture
324,<pad> question: What is the dislocation of the ulna?</s>,Essex–Lopresti fracturedislocation
325,<pad> question: What is the name of the fracture?</s>,Galeazzi fracturedislocationColles fractureHutchinson (chauffeur’s) fracture
326,<pad> question: What is the distal ulnar dislocation?</s>,"Frontal radiograph of the proximal forearm shows a middiaphyseal ulnar fracture (yellow arrow) and radial head
dislocation (red arrow)."
327,<pad> question: What is the name of the scaphoid fracture?</s>,Scaphoid fractureTriquetral fractureKienbock disease
328,<pad> question: What is the name of the fracture at the base of the thumb metacarpal?</s>,Rolando fracture
329,<pad> question: What is the name of the disease that is a result of inflammation?</s>,Arthritis:
330,<pad> question: What is the name of the gallstone that is visible on a sagittal ultrasound?</s>,[STARTUP]
331,<pad> question: What is the name of the hyperplastic cholecystos?</s>,Acalculous cholecystitisEmphysematous cholecystitisCourvoisier gallbladder
332,<pad> question: What is the most common cause of gallbladder cancer?</s>,Gallbladder cancerPrimary gallbladder carcinomaGallbladder metastases
333,<pad> question: What is the name of the condition that causes a gallstone to appear in the pancreas?</s>,Mirizzi syndromePneumobilia
334,<pad> question: What is the name of the condition that causes a diffuse increase in echogenicity of the liver?</s>,Biliary ductal dilationHepatic steatosis
335,<pad> question: What is the name of the disease that causes the liver to become more echogenic?</s>,Liver infectionsViral hepatitisPyogenic abscess
336,<pad> question: What is a hemangi?</s>,Echinococcal cyst (hydatid disease)CandidiasisHepatic Pneumocystis jiroveci
337,<pad> question: What is a liver metastasis?</s>,Focal nodular hyperplasia (FNH)Hepatic adenomaHepatic lipomaBiliary cystadenomaHepatic metastases
338,<pad> question: What is a PTLD?</s>,Fibrolamellar carcinomaHepatic lymphomaPosttransplant lymphoproliferative disorder (PTLD)
339,<pad> question: What is a recanalized umbilical vein considered to be a diagnosticti c of?</s>,Portal hypertension
340,<pad> question: What is the name of the condition that causes portal vein thrombosis?</s>,Portal vein thrombosis
341,<pad> question: What is the name of the ultrasound that shows tiny echogenic foci in the liver?</s>,Portal venous gas
342,<pad> question: What is the term for a chronic pancreatitis?</s>,PancreatitisAcute pancreatitisChronic pancreatitis
343,<pad> question: What is a splenomegaly?</s>,Pancreatic adenocarcinomaCystic pancreatic neoplasmsPancreatic endocrine tumorsPancreatic lymphomaPatterns of diseaseSplenic calcificationEchogenic splenic lesionHypoechoic splenic lesion
344,<pad> question: What are three types of kidney stones?</s>,"stones, obstruction, and hydronephrosis"
345,<pad> question: What are two types of lesion?</s>,Renal lymphomarenal cysts and cystic masses
346,<pad> question: What is the cause of the pyonephrosis?</s>,Renal abscessCystic renal cell carcinomarenal infectionAcute diffuse pyelonephritisFocal pyelonephritisRenal abscessEmphysematous pyelonephritisTuberculous pyelonephritisPyonephrosisHIV associated nephropathyMulticystic renal disease
347,<pad> question: What is a type of renal cystic disease?</s>,Acquired renal cystic disease
348,<pad> question: What is the name of the condition that can cause medullary calcification?</s>,Medullary nephrocalcinosis
349,<pad> question: What type of renal pyramids are visible in the left image?</s>,Echogenic kidneys
350,<pad> question: What is the function and anatomy of the Rete testis?</s>,scrotal anatomy
351,<pad> question: What type of tumors can cause a starry sky appearance?</s>,Burnt-out germ cell tumorTesticular microlithiasisTesticular metastasesBenign testicular tumors
352,<pad> question: What is a common type of testicular cancer?</s>,SarcoidosisBenign testicular tumor mimicsExtratesticular massesBenign extratesticular massesHematoceleVaricocele
353,<pad> question: What is a simple testicular cyst?</s>,Epididymal cysts and spermatoceleSimple testicular cystTubular ectasia of rete testis
354,<pad> question: What type of cyst is seen on the right testicle?</s>,Tunical cyst
355,<pad> question: What is a common cause of a hematoma?</s>,Testicular torsionSegmental infarctionscrotal traumaHematomaTesticular contusionTesticular ruptureEpididymitis
356,<pad> question: What is the name of the gangrene in the testicle?</s>,EpididymoorchitisFournier gangrene
357,<pad> question: What is the name of the condition that is caused by a stenosis of the heart?</s>,Carotid stenosis
358,<pad> question: What is the term for severe internal carotid artery stenosis?</s>,renal artery stenosis
359,<pad> question: What examination is performed on the CFv?</s>,Deep venous thrombosis (DVt)
360,<pad> question: What is the name of the thyroid disease?</s>,Diffuse thyroid diseaseHashimoto thyroiditis (chronic lymphocytic thyroiditis)Graves disease
361,<pad> question: What is the relationship between a thyroid nodule and thyroid cancer?</s>,Multinodular glandthyroid nodule and thyroid cancer
362,<pad> question: What is the name of the disease that is caused by the parathyroid glands?</s>,Malignant adenopathyParathyroid imaging
363,<pad> question: What is the anatomy of the uterine cavity?</s>,Pelvic anatomy
364,<pad> question: What is the name of the drug used to treat endometrial cancer?</s>,Tamoxifen effect
365,<pad> question: What is a leiomyoma?</s>,EndometriosisAdenomyosisMyometriumFibroid (leiomyoma)Leiomyosarcoma
366,<pad> question: What is the cause of the ovaries changes?</s>,Endometrial fluidUterine infectionsIntrauterine device (IUD)PostCesarean section complications
367,<pad> question: What is the yellow curved rrow in the iagram?</s>,Dilated fallopian tubeVascular adnexal diseaseAdnexal torsion
368,<pad> question: What is the name of the cancer that was found in the embryo?</s>,Dermoid cystOvarian cancer
369,<pad> question: What is the term for a convention relating to the age of a woman?</s>,Pregnancy dating
370,<pad> question: What is the risk stratification of ectopic pregnancy?</s>,"guarded pregnancy prognosis:
follow-up ultrasound recommended"
371,<pad> question: What are mono/di twins?</s>,Mono/di (monochorionic/diamniotic) twinsMono/mono (monochorionic/monoamniotic) twins
372,<pad> question: What is the name of the condition that causes the fetus to be embolized?</s>,complications of monochorionic twinsTwin embolization syndrome
373,<pad> question: What is a rare condition that can be difficult to identify?</s>,Placental abruption
374,<pad> question: What is the name of the placenta that has invaded through the serosa into the bladder wall?</s>,Placenta percreta:
375,<pad> question: What is a fetal ascites?</s>,Immune hydropsNonimmune hydropsFetal ascitesFetal pleural effusion
376,<pad> question: What is the name of the ventricular enlargement?</s>,VentriculomegalyAnencephaly
377,<pad> question: What is the arrow in the lumbar open neural tube defect?</s>,Dandy Walker malformationChiari II/Myelomeningocele
378,<pad> question: Absence of the cavum septum pellucidum is associated with what?</s>,Agenesis of the corpus callosum
379,<pad> question: What is the name of the choroid plexus cyst?</s>,HydranencephalyChoroid plexus cystVein of Galen malformation
380,<pad> question: What is the enlarged midline vascular structure?</s>,"Transverse ultrasound of a fetal head shows
a hypoechoic cyst (arrow) located within
the echogenic, otherwise normalappearing
choroid."
381,<pad> question: What is CDH?</s>,Congenital diaphragmatic hernia (CDH)Bronchopulmonary foregut malformationPulmonary hypoplasiaDistal fetal bowel obstruction
382,<pad> question: What is the name of the condition that causes a bowel herniation?</s>,Hyperechoic small bowelOmphaloceleGastroschisisPentalogy of Cantrell
383,<pad> question: What is the term for a kinking of the femur?</s>,Sacrococcygeal teratoma
384,<pad> question: What is the choroid plexus cyst</s>,"Transverse image of the fetal skull shows a large
choroid plexus cyst (arrow) nearly replacing the
entire choroid."
385,<pad> question: What part of the body is imaged by ultrasonography?</s>,Pancreas:
386,<pad> question: What type of abnormalities are evaluated by ultrasound?</s>,Spleen:
387,<pad> question: What type of medicine does London England offer?</s>,Vascular:
388,<pad> question: What type of nodules were detected at the US Society of Radiologists in Ultrasound conference statement?</s>,Thyroid:
389,<pad> question: What are the two main areas of ultrasound?</s>,Ectopic and Early Pregnancy:
390,<pad> question: What part of the body is imaged by ultrasound?</s>,Placenta:
391,<pad> question: What is the reason for the uptake of fluorine18?</s>,technical considerations
392,<pad> question: What is the initial staging of lung cancer?</s>,Lung cancerSolitary pulmonary nodule (SPN)
393,<pad> question: What is a common type of cancer?</s>,Head and neck cancerLymphomaBreast cancercancers where PEtct plays a limited roleRenal cell carcinoma (RCC) and bladder cancerProstate cancerclinical overview
394,<pad> question: What is the term for radionuclides?</s>,radionuclides used in nuclear cardiology
395,<pad> question: What are two types of stress?</s>,types of stress – exercise and pharmacologic
396,<pad> question: What was the rest and stress images of the sestamibi perfusion study?</s>,Normal
397,<pad> question: What is an Iodine-131 Tc99m pertechnetate?</s>,radiotracers
398,<pad> question: What is the name of the disease that causes the thyroid to become irritable?</s>,Graves diseaseHashimoto thyroiditis
399,<pad> question: What is the I131 used for?</s>,"therapeutic indications (I131)Thyroid carcinoma, post radioiodine therapyTreatment of Graves Disease"
400,<pad> question: What was confirmed at surgery?</s>,Treatment of multinodular goiterradiotracerParathyroid adenoma
401,<pad> question: What is the name of the bleeding that occurs when a Tc99m labeled RBC is used?</s>,Gastrointestinal bleeding
402,<pad> question: What is the HId image of the liver?</s>,• Technetium-99m pertechnetate localizes to gastric mucosa.Meckel diverticulum
403,<pad> question: What is the term for a chronic condition?</s>,Chronic cholecystitis
404,<pad> question: What is the main cause of cholangiocarcinoma?</s>,Hepatic dysfunction
405,<pad> question: What is the name of the device used to detect pulmonary embolism?</s>,radiotracers
406,<pad> question: What is the low probability of metastatic disease?</s>,Diagnosis of pulmonary embolism with PIo PED II
407,<pad> question: What is a heel splint?</s>,FractureStress fractureShin splints
408,<pad> question: What is the name of the condition that causes Avascular necrosis?</s>,Insufficiency fractureProsthesis evaluationOsteomyelitis and musculoskeletal infectionHypertrophic pulmonary osteoarthropathyAvascular necrosis (AVN)
409,<pad> question: What is a diffusely decreased radiotracer?</s>,radiotracers
410,<pad> question: What is the name of the tumor that is confirmed by CT?</s>,Extraadrenal pheochromocytoma
411,<pad> question: What is the use of radiotracers?</s>,radiotracersclinical applications of cerebrovascular imagingBrain deathEvaluation of cerebral perfusionSeizure imagingDementia imagingBrain tumor recurrence versus radiation necrosisCrossed cerebellar diaschisis
412,<pad> question: What is the name of the book that discusses the use of PET in cancer care?</s>,General Reference:
413,<pad> question: What journal published a study on the use of PET and CT?</s>,Nuclear Cardiology:
414,<pad> question: What is the name of the imaging technique used to diagnose thyroid disorders?</s>,Thyroid Nuclear Imaging:
415,<pad> question: What is the role of nuclear medicine in the detection of acute gastrointestinal bleeding?</s>,GI Nuclear Imaging:
416,<pad> question: What is the name of the imaging method used to diagnose osteoid osteoma?</s>,Musculoskeletal Nuclear Imaging:
417,<pad> question: What is the name of the imaging system used to evaluate brain function?</s>,Brain Nuclear Imaging:
418,<pad> question: What is the acronym for the invasive ductal breast cancer pathway?</s>,[STARTUP]
419,<pad> question: What is the name of the disease that causes a breast abcess?</s>,Paget disease of the nipplecyclical and proliferative breast diseaseFibrocystic changeSclerosing adenosisInfectious and inflammatory breast diseaseMastitisBreast abscessGranulomatous mastitisPeriductal mastitisMondor diseaseMammographyscreening mammographycraniocaudal (CC)
420,<pad> question: What is the procedure called that evaluates image quality and adequacy?</s>,Diagnostic mammography
421,<pad> question: What is a benign cause of a breast mass?</s>,skin thickeningSkin thickening: Benign causesMammographic masses using the b Ir ADs lexicon
422,<pad> question: What is the name of the calcifications on the mammogram?</s>,Large rodlike calcificationsMilk of calcium calcifications
423,<pad> question: What are the calcifications of the rim?</s>,Dystrophic calcificationsRound calcificationsPunctate calcificationsLucentcentered calcifications“Eggshell” or “rim” calcifications
424,<pad> question: What type of calcifi cations are seen on mammography?</s>,Diffuse/scattered calcifi cationsRegional calcifi cationsSegmentalGrouped or clustered
425,<pad> question: What is the asymmetry of the lesion?</s>,"Mammographic use of b Ir ADs 3Circumscribed, benignappearing solid massCluster of tiny round calcificationsFocal asymmetry"
426,<pad> question: What is ultrasound differentiation of a benign and malignant solid mass?</s>,ultrasound differentiation of benign and malignant solid massesUltrasound features of a benign massUltrasound features of a malignant mass
427,<pad> question: What is the common complaint of a fatty mass?</s>,Fatty masses
428,<pad> question: What is the term for a mass with a fine peripherally calcified rim?</s>,Oil cyst (fat necrosis)
429,<pad> question: What is the term for fibroadenolipoma?</s>,Hamartoma (fibroadenolipoma)
430,<pad> question: What is the name of the mass that is lobulated and contains both fat and fat?</s>,Galactocele
431,<pad> question: What is the mammogram of?</s>,Intramammary lymph node
432,<pad> question: What is the term for a hyalinized mass?</s>,Fibroadenoma
433,<pad> question: What is PASH?</s>,Pseudoangiomatous stromal hyperplasia (PASH)Breast cancer
434,<pad> question: What is a poor predictor of malignancy for solid circumscribed masses?</s>,"• Size is a poor predictor of malignancy for solid circumscribed masses.
roadenomaGiant fibroadenomaPhyllodes tumorLactational adenoma"
435,<pad> question: What is the name of the disease that causes multiple intraductal papillomas?</s>,Multiple skin massesNeurofibromatosisSteatocystoma multiplex
436,<pad> question: What is the name of the mammogram?</s>,Simple cystComplicated cyst
437,<pad> question: What type of lesion is present in the calipers?</s>,Clustered microcysts
438,<pad> question: What is the term for IDC?</s>,Invasive ductal carcinoma (IDC)Invasive lobular carcinomaTubular carcinoma
439,<pad> question: What is the treatment for a breast cancer nodal metastasis?</s>,Postlumpectomy or postexcisional biopsy scarAbscessAxillary massBreast cancer nodal metastasisLymphomaAngiosarcoma
440,<pad> question: What is the name of the tumor that is metastatic to the breast?</s>,Angiosarcoma:
441,<pad> question: What is the asymmetry on the mLo?</s>,AsymmetryGlobal asymmetry
442,<pad> question: What is caused by a scar from prior excisional biopsy?</s>,Architectural distortion
443,<pad> question: What is the most common type of accessory tissue?</s>,Sternalis muscleAccessory nipple (polythelia)Accessory breast tissue
444,<pad> question: What is the clinical role of breast MRI?</s>,Introduction
445,<pad> question: What is the name of the NMLE distribution?</s>,Mr I focus
446,<pad> question: What is the name of the document that describes the management of breast cancer?</s>,Management guidelines
447,<pad> question: What is the most common type of imaging of implants?</s>,Imaging implants
448,<pad> question: What is the name of the case courtesy of Christine Denison?</s>,Intracapsular silicone implant rupture
449,<pad> question: What is the name of the procedure used to treat male breast cancer?</s>,Reduction mammoplastyGynecomastiaMale breast cancer
450,<pad> question: What is the name of the book that discusses the use of mammography and ultrasound?</s>,General References:
451,<pad> question: What is the current status of diagnostic breast ultrasound?</s>,Breast Ultrasound:
452,<pad> question: What is the name of the procedure used to diagnose breast lesions?</s>,Breast Interventions:
453,<pad> question: What is the main type of imaging?</s>,Cardiovascular imaging
454,<pad> question: What is the aorti c dissecti on secondary to atherosclerosis?</s>,overview of acute aortic syndrome
455,<pad> question: What type of aneurysm is asymptomatic?</s>,Aortic trauma
456,<pad> question: What is AAA?</s>,Abdominal aortic aneurysm (AAA)
457,<pad> question: What is inadequate graft seal?</s>,Type I endoleak: Inadequate seal of graft
458,<pad> question: What type of aortitis is active?</s>,Types IV and V endoleaksAortitis
459,<pad> question: What is a structural coronary artery anomaly?</s>,structural coronary artery anomaliesBenign coronary artery anomaly
460,<pad> question: What is the name of the MRI that is used to measure cardiac perfusion?</s>,overview of cardiac Mr I
461,<pad> question: What is the cause of midmyocardial delayed enhancement?</s>,Delayed enhancement: nonischemic
462,<pad> question: What is the term for a hypertrophic cardiomyopathy?</s>,Circumferential subendocardial delayed enhancement
463,<pad> question: What is the left atrial enlargement?</s>,Right ventricular enlargementRight atrial enlargementLeft ventricular enlargement
464,<pad> question: What is the cause of rightsided valvular disease?</s>,Mitral stenosisMitral annular calcificationAortic stenosisAortic regurgitationRightsided valvular disease
465,<pad> question: What is HCM?</s>,Hypertrophic cardiomyopathy (HCM)
466,<pad> question: What is the term for nonischemic cardiomyopathy?</s>,Dilated cardiomyopathy
467,<pad> question: What is the name of the condition that can be seen on a chest radiograph?</s>,Pericardial calcification
468,<pad> question: What part of the body is a thrombotic aneurysm?</s>,Aorta:
469,<pad> question: What type of CT is used to diagnose heart disease?</s>,Cardiac CT:
470,<pad> question: What is a guide for the beginner?</s>,Cardiac MRI:
471,<pad> question: What part of the body is affected by anatomic pitfalls?</s>,Pericardium:
